Name,Link,Description
"Project Free Our Knowledge","https://youtu.be/_JTPtyPrMLM",""
"Preregistration","https://www.pnas.org/content/115/11/2600",""
"Preregistration Template","https://youtu.be/Ov8Go6OecUA",""
"FAIR Data","http://127.0.0.1:4000/educational/",""
"The benefits of BIDS","https://youtu.be/K9hVAr5fvJg",""
"A hitchhiker's guide to working with large, open-source neuroimaging datasets","https://pubmed.ncbi.nlm.nih.gov/33288916/",""
"Introduction to git and github","https://youtu.be/zh_WFv0uk7w",""
"Introduction to DataLad","https://youtu.be/QsAqnP7TwyY",""
"Containers for science","https://youtu.be/pc3YOZUG3lQ",""
"#Matlab / #Octave: divide and conquer m-scripts","https://youtu.be/AWfrlKTLkqw",""
"How to write good code","https://youtu.be/gfPP2pQ8Rms",""
"Code Testing","https://youtu.be/gfPP2pQ8Rms",""
"NeuroImaging PREProcessing toolS (NiPreps) includes fMRIPrep, dMRIPrep, sMRIPrep, and more","https://www.nipreps.org/",""
"Diffusion MRI preprocessing (qsiprep)","https://qsiprep.readthedocs.io/en/latest/",""
"An interface to facilitate interaction between neuroimaging software within a single workflow, Nipype","https://nipype.readthedocs.io/en/latest/",""
"TE Dependent ANAlysis (tedana)","https://tedana.readthedocs.io/en/stable/",""
"Reproducible Workflows (The Turing Way)","https://youtu.be/tk2eZSrM8oA",""
"Transparent MRI workflows: From scanner to publication","https://youtu.be/dSOQgyuL51U",""
"Machine Learning Reproduciblity Checklist","https://www.cs.mcgill.ca/~jpineau/ReproducibilityChecklist.pdf",""
"Data visualization","https://youtu.be/HwpYh39lPHs",""
"How to organize a figure!","https://youtu.be/W91kvzU0Cec",""
"Threats to research integrity","https://youtu.be/x_MsPvgetxw",""
"Questionable research practices!","https://youtu.be/tufAPd1NITQ",""
"Dissemination problems","https://youtu.be/UzS2Q_hrNV8",""
"Towards Global Inclusivity in Open Science","https://youtu.be/RRwuOs0BA4I",""
"Community Building","https://youtu.be/3H0zQ6odOd0",""
"ReproducibiliTea","https://reproducibilitea.org/about/",""
"Chinese Open Science Network","https://open-sci.cn/",""
"BrainHack Global","https://brainhack.org/",""
